Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
COPS4	COPS4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
CPSF6	CPSF6: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
DNAJC8	DNAJC8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
ESPL1	ESPL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
CD80	CD80: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
FBXL7	FBXL7: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
CDC26	CDC26: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
FCGR3A	FCGR3A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
GCFC2	GCFC2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
FBXL3	FBXL3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	10%
DNAJC6	DNAJC6: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
HNRNPA0	HNRNPA0: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
BORA	BORA: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
EXOSC3	EXOSC3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ANK3	ANK3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
HAUS2	HAUS2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
DDX39A	DDX39A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
COPZ1	COPZ1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
DYNC1LI2	DYNC1LI2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ERLIN2	ERLIN2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
FBXO9	FBXO9: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
AAAS	AAAS: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
DDB1	DDB1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
ERAL1	ERAL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
CWC15	CWC15: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
C2CD3	C2CD3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
FKBP1B	FKBP1B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
COMMD8	COMMD8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
